,Country,Year,Personal,Business,Birth Rate,CO2 Emissions,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
0,albania,2000,218,77,0.019,3022,1763,3686649387,0.064,70,0.023,0,0.221,77,71,0,0.303,0.628,0.068,3089027,0.417,398000000,290000000
1,algeria,2000,81,117,0.02,87931,26998,54790058957,0.035,60,0.034,0,0.1,71,67,0,0.342,0.619,0.039,31719449,0.599,102000000,193000000
2,angola,2000,46,5,0.05,9542,7499,9129594819,0.034,22,0.128,0,1.032,47,44,0,0.476,0.499,0.025,13924930,0.324,34000000,146000000
3,argentina,2000,41,35,0.019,141077,60954,3.44273E+11,0.092,710,0.018,0.1,0.111,78,70,0.2,0.279,0.621,0.099,36903067,0.891,3195000000,5460000000
4,armenia,2000,41,4,0.013,3465,2015,1911563665,0.063,39,0.027,0,0.316,75,68,0,0.259,0.641,0.1,3076098,0.647,52000000,56000000
5,australia,2000,4080,851,0.013,329605,108110,4.15208E+11,0.081,1713,0.005,0.5,0.093,82,77,0.4,0.207,0.669,0.124,19153000,0.872,13016000000,8780000000
6,austria,2000,62,56,0.01,63696,28558,1.92071E+11,0.1,2403,0.005,0.3,0.21,81,75,0.8,0.17,0.675,0.155,8011566,0.658,11382000000,7001000000
7,azerbaijan,2000,75,606,0.015,29508,11296,5272617196,0.047,30,0.061,0,0.197,70,64,0.1,0.311,0.633,0.056,8048600,0.514,68000000,138000000
8,bahrain,2000,3610,259,0.021,18643,5865,9063147901,0.035,476,0.011,0.1,0.116,76,74,0.3,0.308,0.667,0.024,668239,0.884,854000000,425000000
9,bosnia and herzegovina,2000,111,49,0.01,23223,4346,5505984456,0.071,103,0.008,0,0.305,77,72,0,0.202,0.691,0.107,3834364,0.393,246000000,92000000
10,botswana,2000,961,143,0.027,4276,1836,5788311645,0.047,152,0.054,0,0.155,52,49,0.1,0.383,0.587,0.029,1755375,0.532,227000000,209000000
11,brazil,2000,3833,1480,0.021,327984,187442,6.44702E+11,0.072,265,0.029,0,0.568,74,67,0.1,0.296,0.649,0.055,174504898,0.812,1969000000,4548000000
12,bulgaria,2000,4744,178,0.009,43531,18688,12903546765,0.062,98,0.018,0.1,0.113,75,68,0.1,0.157,0.677,0.166,8170172,0.689,1364000000,764000000
13,cambodia,2000,304,47,0.028,1977,3412,3654031716,0.063,19,0.082,0,0.112,65,59,0,0.408,0.554,0.038,12222871,0.186,345000000,52000000
14,canada,2000,16712,2842,0.011,534484,251450,7.39456E+11,0.088,2090,0.005,0.5,0.073,82,77,0.3,0.192,0.683,0.125,30769700,0.795,13035000000,15125000000
15,chile,2000,1494,248,0.017,58694,25174,79328640264,0.077,390,0.009,0.2,0.148,80,74,0.2,0.278,0.65,0.072,15454402,0.861,1179000000,904000000
16,china,2000,52,17,0.014,3405180,1161353,1.19847E+12,0.046,43,0.03,0,0.059,74,71,0.1,0.256,0.675,0.069,1262645000,0.359,17318000000,14169000000
17,dominican republic,2000,2855,117,0.025,20117,7499,23996656676,0.063,173,0.033,0,0.268,74,68,0.1,0.349,0.599,0.051,8663421,0.617,2860000000,440000000
18,ecuador,2000,14,46,0.025,20942,7815,18327386416,0.036,53,0.028,0,0.171,76,71,0,0.345,0.604,0.051,12533087,0.603,451000000,416000000
19,eritrea,2000,49,21,0.04,609,708,706370812,0.045,7,0.058,0,0.072,58,54,0.3,0.47,0.512,0.018,3939348,0.176,36000000,316000000
20,estonia,2000,2549,761,0.01,15181,4715,5675697575,0.053,213,0.009,0.3,0.074,76,65,0.4,0.18,0.669,0.152,1396985,0.694,657000000,253000000
21,ethiopia,2000,74,35,0.044,5831,25242,8091384891,0.043,5,0.09,0,0.109,53,51,0,0.466,0.503,0.031,66024199,0.147,205000000,80000000
22,finland,2000,2527,1262,0.011,52141,32233,1.21794E+11,0.072,1700,0.004,0.4,0.056,81,74,0.7,0.182,0.669,0.149,5176209,0.822,2035000000,2293000000
23,france,2000,162,356,0.013,365560,251981,1.32633E+12,0.101,2209,0.004,0.1,0.067,83,75,0.5,0.189,0.65,0.16,60911057,0.759,38534000000,26703000000
24,guatemala,2000,123,124,0.037,9916,7041,19290566570,0.056,96,0.04,0,0.209,71,64,0.1,0.441,0.519,0.04,11204183,0.451,498000000,216000000
25,haiti,2000,154,178,0.031,1368,2010,3664503846,0.061,26,0.075,0,0.314,59,56,0,0.403,0.557,0.04,8578234,0.356,128000000,173000000
26,honduras,2000,402,69,0.032,5031,2990,7105529647,0.066,76,0.031,0,0.268,73,68,0,0.424,0.537,0.039,6235561,0.455,263000000,198000000
27,hungary,2000,88,80,0.01,57238,24999,46385589534,0.072,326,0.01,0.1,0.126,76,67,0.3,0.168,0.68,0.151,10210971,0.646,3809000000,1722000000
28,iceland,2000,172,219,0.014,2164,3100,8697298234,0.095,2961,0.003,0.4,0.168,82,78,0.8,0.233,0.651,0.116,281205,0.924,386000000,471000000
29,india,2000,2043,110,0.026,1186663,457198,4.76609E+11,0.043,20,0.067,0,0.123,63,61,0,0.342,0.614,0.044,1042261758,0.277,3598000000,3686000000
30,indonesia,2000,2971,2093,0.022,263419,154768,1.65021E+11,0.02,15,0.041,0,0.185,69,65,0,0.307,0.647,0.047,208938698,0.42,4975000000,3197000000
